,tweet,clean_tweet
0,"@kinaru_ @MalihDhakal @registaco Main, ngacak ngacak Arsenal di Final UEL bahkan. Doi pas top form juga di Pildun 2018, gendong Belgia sampek juara 3.",main ngacak ngacak arsenal final uel bahkan doi pas top form pildun 2018 gendong belgia sampek juara
1,"@Info_Ronaldo7 @idextratime Lawakan dodolover di pagi hari 🤣🤣 idola lo noh  selama pildun jadi beban,rating paling jelek 🤣the  real beban portugal di pildun 2022  https://t.co/3Bbwo9GYcf",lawa dodolover pagi hari idola noh lama pildun beban rating paling jelek the real beban portugal pildun 2022
2,"Sejak liat jerman di pildun, gue bilang juga apa peradaban barat 1000 tahun lebih telat kan",sejak liat jerman pildun gue bilang apa adab barat 1000 tahun lebih telat kan
3,Mo salah mo salah lagi lagi lu ye. Pantes mesir ga masuk pildun. Fix ga akan gacor lagi ini mah musim ini.,salah salah pantes mesir masuk pildun fix gacor mah musim
4,@CNNIndonesia Pake baju prancis di indonesia waktu pildun juga haram,pake baju prancis indonesia waktu pildun haram
5,"@Sitday2 @rsqmebb @safirA18__ @Ririnduuu007 Y kale baju pildun merah di cocoklogi 😂 pdhl emang musim pildun ,Eeh skrng pohon natal yg emang lg Natal 🤣 capek2 🥱😂harus kah q ovt keNunu kak krn abis JH Auto Nunu Nyusul 😂lawak betul emang 🤣",kale baju pildun merah cocoklogi pdhl emang musim pildun eeh skrng pohon natal emang natal capek2 ovt kenunu kak krn auto nunu nyusul lawak betul emang
6,@BroadcastBola selesai tayangan pildun...koq blm berubah cara mainnya,selesai tayang pildun koq blm ubah cara main
7,info mandi bola yang bolanya pake bola pildun,info mandi bola bola pake bola pildun
8,"@SiaranBolaLive Masih suka yang sama kappa sih sebenernya, yang lengannya modelan 3/4 kalo gasalah pas pildun 2002 apa yah. 🤔",suka kappa sebenernya lengan model gasalah pas pildun 2002 apa yah
9,"@R_min80 @aniesbaswedan Pendukung pak Dhe emang rerata ky gni, tukang Hoax...Pak Anies ngtweet tgl 11 Des argentina juara pildun tgl 18 Des 🤣🤣  Klo mau nipu yg cerdas jg donk Bong   #AsuBeudDaah",dukung pak dhe emang rerata gni tukang hoax pak anies ngtweet tgl des argentina juara pildun tgl des klo mau nipu cerdas donk bong asubeuddaah
10,@convomf Dia siapa si? Kemaren di pildun jg rame,siapa kemaren pildun rame
