,tweet,clean_tweet
0,"Setelah dukung Argentina selama pildun, kini harus balik ke realita untuk dukung barca di liga dan uel☺️☺️  https://t.co/fXBL64qDT2",dukung argentina lama pildun kini balik realita dukung barca liga uel
1,Menunggu opening pildun U-20 lala widy 😍,tunggu opening pildun lala widy
2,Momen Pildun apa yang kalian ga akan lupain nih sobat Medcom. Kalo mimin sih momen Messi angkat piala pastinya 😊  #MedcomID     https://t.co/zif2QlKyj1 via @medcom_id,momen pildun apa kalian lupain sobat medcom mimin momen messi angkat piala pasti medcomid via medcom id
3,"@Askrlfess Gak, aku yg dari pildun sebelumnya nge hype mbappe aja masih dikira ikut2an caper nder wkwk",askrlfess gak aku pildun belum nge hype mbappe kira ikut2an caper nder wkwk
4,@Indostransfer @F_Besar007 dan ini pun memang sehabis pildun.,indostransfer f besar007 memang habis pildun
5,@convomfs set 4 kemarin abis nonton pildun,convomfs set kemarin nonton pildun
6,Kumpulan momen-momen lucu dan tak terlupakan sepanjang masa di Piala Dunia. | 77577sports #77577sports #pestabola #pildun #pildun2022 #infopildun #pestaboladunia #boladunia #duniabola #infopialadunia #qatarpildun #qatar2022 #football #soccer #beritabola #infobola #beritabola  https://t.co/kZRYbk3Atb,kumpul momen momen lucu tak lupa panjang masa piala dunia 77577sports 77577sports pestabola pildun pildun2022 infopildun pestaboladunia boladunia duniabola infopialadunia qatarpildun qatar2022 football soccer beritabola infobola beritabola
7,@txtdrberseragam Berkat pildun ada yg bahagia tapi ada juga yg nangis gak kunjung reda  https://t.co/diueZKZANN,txtdrberseragam berkat pildun bahagia nang gak kunjung reda
8,@Askrlfess Kaga lah. Aku nonton pildun jg baru2 ini. Yaa karna baru bisa ngakses nya sih.,askrlfess kaga lah aku nonton pildun baru2 yaa karna baru ngakses
9,"@Askrlfess Apaansi tolol yee emang tmn lu. Pildun kalo ga hype di semua kalangan ya berarti promosinya gagal, udh itu aja si.",askrlfess apaansi tolol yee emang tmn pildun hype semua kalang arti promosi gagal udh
